Ref_number;States;Municipality ;Study_location;Coordinates ;Conservation_unit;Status_conservation_unit;Phytophysiognomy_type;Plant_species_original;Plant_species_adjusted;Plant_family;Plant_genus;Threat_status;Life_form;Vegetation_type;Plant_distribution;Biogeographical _domain;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Anadenanthera peregrina;Anadenanthera peregrina (L.) Speg.;Fabaceae;Anadenanthera;NA;NA;NA;AC;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_12;GO;Pirenópolis, Corumbá de Goiás, Cocalzinho;Parque Estadual da Serra dos Pireneus;15°48’S, 48°52’W;Yes;Estadual;Mata de galeria, mata estacional semidecídua;Anadenanthera peregrina;Anadenanthera peregrina (L.) Speg.;Fabaceae;Anadenanthera;NA;NA;NA;AC;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_09;GO;Goiânia;Campus Samambaia da Universidade Federal de Goiás;NA;No;No;Mata mesófila semidecídua;Piptadenia peregrina;Anadenanthera peregrina (L.) Speg. var. peregrina;Fabaceae;Anadenanthera;NA;Shrub|Tree;Cerrado (lato sensu)|Floresta Ciliar ou Galeria;AM|DF|GO|MG|MS|PA|RR;Amazônia|Cerrado;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Anadenanthera peregrina var. falcata;Anadenanthera peregrina var. falcata (Benth.) Altschul;Fabaceae;Anadenanthera;NA;Shrub|Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);BA|MG|MS|MT|PB|PR|RJ|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Anadenanthera falcata;Anadenanthera peregrina var. falcata (Benth.) Altschul;Fabaceae;Anadenanthera;NA;Shrub|Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);BA|MG|MS|MT|PB|PR|RJ|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Andira cujabensis;Andira cujabensis Benth.;Fabaceae;Andira;NA;Tree;Cerrado (lato sensu)|Floresta Estacional Semidecidual;BA|DF|GO|MS|MT|PA|TO;Amazônia|Cerrado;
Ref_28;BA;Barreiras;Campus of the Universidade Federal do Oeste da Bahia;11°37’S-12°25’S, 44°34’W-46°23’W;No;No;Cerrado;Andira cuyabensis;Andira cujabensis Benth.;Fabaceae;Andira;NA;Tree;Cerrado (lato sensu)|Floresta Estacional Semidecidual;BA|DF|GO|MS|MT|PA|TO;Amazônia|Cerrado;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Cerrado;Andira humilis;Andira humilis Mart. ex Benth.;Fabaceae;Andira;NA;Shrub|Tree;NA;BA|DF|MA|MG|MS|MT|PA|PE|PR|RN|RO|SP;Amazônia|Caatinga|Cerrado;
Ref_28;BA;Barreiras;Campus of the Universidade Federal do Oeste da Bahia;11°37’S-12°25’S, 44°34’W-46°23’W;No;No;Cerrado;Andira humilis;Andira humilis Mart. ex Benth.;Fabaceae;Andira;NA;Shrub|Tree;NA;BA|DF|MA|MG|MS|MT|PA|PE|PR|RN|RO|SP;Amazônia|Caatinga|Cerrado;
Ref_01;MG;Belo Horizonte;Campus Pampulha;"19°51'51,4""S 43°57'55,8""W";No;No;Cerrado, mata;Andira parviflora;Andira parviflora Ducke;Fabaceae;Andira;NA;Tree;Floresta Ombrófila (= Floresta Pluvial);AM|PA;Amazônia;
Ref_16;GO;Caldas Novas;Fragmento de cerrado;17°42’39’’S, 48°38’27’’W;No;No;Cerrado;Andira paniculata;Andira vermifuga (Mart.) Benth.;Fabaceae;Andira;LC;Tree;Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual;AC|AM|BA|CE|DF|GO|MA|MG|MS|MT|PI|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_12;GO;Pirenópolis, Corumbá de Goiás, Cocalzinho;Parque Estadual da Serra dos Pireneus;15°48’S, 48°52’W;Yes;Estadual;Cerrado rochoso;Andira paniculata;Andira vermifuga (Mart.) Benth.;Fabaceae;Andira;LC;Tree;Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual;AC|AM|BA|CE|DF|GO|MA|MG|MS|MT|PI|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_26;GO;Silvânia;Floresta Nacional de Silvânia;"16°38’11,79”S, 48°39’50,82”W; 16°37’52,90”S, 48°39’52,38”W";Yes;Federal;Cerrado, mata de galeria;Andira paniculata;Andira vermifuga (Mart.) Benth.;Fabaceae;Andira;LC;Tree;Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual;AC|AM|BA|CE|DF|GO|MA|MG|MS|MT|PI|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_04;MG;Três Marias;Estação Ecológica de Pirapitinga;"18°20'S-18°23'S; 45°I7'W-45°20'W";Yes;Federal;Cerrado;Anemopaegma arvense;Anemopaegma arvense (Vell.) Stellfeld ex de Souza;Bignoniaceae;Anemopaegma;EN;Shrub;Cerrado (lato sensu);BA|DF|GO|MA|MG|MS|MT|PR|RJ|RO|SP|TO;Amazônia|Cerrado|Mata Atlântica;
Ref_15;SP;Luiz Antônio;Ecological Station of Jataí;"21°36’19.44”S, 47°47’28.86”W; 21°36’14.10”S, 47°46’34.44”W; 21°36’2.81”S, 47°45’38.32”W; 21°35’33.27”S, 47°45’40.86”W; 21°37’48.48”S, 47°42’33.15”W";Yes;Estadual;Cerradão, cerrado;Annona coriacea;Annona coriacea Mart.;Annonaceae;Annona;LC;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|CE|DF|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Pantanal;
Ref_12;GO;Pirenópolis, Corumbá de Goiás, Cocalzinho;Parque Estadual da Serra dos Pireneus;15°48’S, 48°52’W;Yes;Estadual;Cerrado;Annona coriacea;Annona coriacea Mart.;Annonaceae;Annona;LC;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|CE|DF|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Pantanal;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Annona coriacea;Annona coriacea Mart.;Annonaceae;Annona;LC;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|CE|DF|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Pantanal;
Ref_15;SP;Luiz Antônio;Ecological Station of Jataí;"21°36’19.44”S, 47°47’28.86”W; 21°36’14.10”S, 47°46’34.44”W; 21°36’2.81”S, 47°45’38.32”W; 21°35’33.27”S, 47°45’40.86”W; 21°37’48.48”S, 47°42’33.15”W";Yes;Estadual;Cerradão, cerrado;Annona crassiflora;Annona crassiflora Mart.;Annonaceae;Annona;NA;Tree;Cerrado (lato sensu);BA|DF|GO|MA|MG|MS|MT|PA|PR|SP|TO;Amazônia|Cerrado|Pantanal;
Ref_06;MG;Prados;Serra de São José;"21°03',21°07’S; 44°06',44°13’W";No;No;Campo rupestre, cerrado;Annona crassiflora;Annona crassiflora Mart.;Annonaceae;Annona;NA;Tree;Cerrado (lato sensu);BA|DF|GO|MA|MG|MS|MT|PA|PR|SP|TO;Amazônia|Cerrado|Pantanal;
Ref_22;MG;Tiradentes;Serra de São José;21°00’S, 44°00?W;No;No;Campo rupestre;Annona crassiflora;Annona crassiflora Mart.;Annonaceae;Annona;NA;Tree;Cerrado (lato sensu);BA|DF|GO|MA|MG|MS|MT|PA|PR|SP|TO;Amazônia|Cerrado|Pantanal;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Annona dioica;Annona dioica A.St.-Hil.;Annonaceae;Annona;LC;Shrub;Cerrado (lato sensu)|Floresta de Terra Firme;GO|MA|MG|MS|MT|PR|RS|SP|TO;Cerrado|Pantanal;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Annona emarginata;Annona emarginata (Schltdl.) H.Rainer;Annonaceae;Annona;LC;Shrub|Tree;Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)|Restinga;BA|DF|MG|MS|MT|PR|RS|SC|SP;Cerrado|Mata Atlântica;
Ref_21;BA;Caetité;APP da nascente do riacho Jatobá;14°04'36,8''S, 42°29'59,7''W;No;No;Transição cerrado-caatinga;Rollinia leptopetala;Annona leptopetala (R.E.Fr.) H.Rainer;Annonaceae;Annona;LC;Shrub|Tree;Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu);BA|CE|MG|PE|PI;Caatinga|Cerrado;
Ref_31;BA;Caetité;Trilha Jacaraci;14°05’18”S, 42°29’56”W;No;No;Cerrado;Annona leptopetala;Annona leptopetala (R.E.Fr.) H.Rainer;Annonaceae;Annona;LC;Shrub|Tree;Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu);BA|CE|MG|PE|PI;Caatinga|Cerrado;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Rollinia sylvatica;Annona sylvatica A.St.-Hil.;Annonaceae;Annona;NA;Tree;Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);BA|ES|MG|MT|PR|RJ|RS|SC|SP;Mata Atlântica|Pantanal;
Ref_01;MG;Belo Horizonte;Campus Pampulha;"19°51'51,4""S 43°57'55,8""W";No;No;Cerrado, mata;Aspidosperma australe;Aspidosperma australe Müll.Arg.;Apocynaceae;Aspidosperma;LC;Tree;Floresta Estacional Semidecidual;DF|GO|MG|MS|MT|PR|RJ|RS|SC|SP;Mata Atlântica;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Aspidosperma cylindrocarpon;Aspidosperma cylindrocarpon Müll.Arg.;Apocynaceae;Aspidosperma;LC;Tree;Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual;BA|DF|ES|GO|MG|MS|MT|PR|RJ|RO|SC|SP;Amazônia|Cerrado|Mata Atlântica;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Aspidosperma macrocarpon;Aspidosperma macrocarpon Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MA|MG|MS|MT|PA|PI|TO;Amazônia|Cerrado;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Aspidosperma nobile;Aspidosperma nobile Müll.Arg.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);DF|GO|MS|MT|RO|TO;Cerrado|Pantanal;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Aspidosperma pyrifolium;Aspidosperma pyrifolium Mart. & Zucc.;Apocynaceae;Aspidosperma;NA;Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;AL|BA|CE|DF|GO|MA|MG|MS|MT|PB|PE|PI|RN|SE|TO;Caatinga|Cerrado;
Ref_04;MG;Três Marias;Estação Ecológica de Pirapitinga;"18°20'S-18°23'S; 45°I7'W-45°20'W";Yes;Federal;Cerrado;Aspidosperma tomentosum;Aspidosperma tomentosum Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SC|SP|TO;Cerrado;
Ref_16;GO;Caldas Novas;Fragmento de cerrado;17°42’39’’S, 48°38’27’’W;No;No;Cerrado;Aspidosperma tomentosum;Aspidosperma tomentosum Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SC|SP|TO;Cerrado;
Ref_08;GO;Pirenópolis, Cocalzinho, Corumbá;Parque Estadual da Serra dos Pireneus;15°50'S, 48°57'W;Yes;Estadual;Cerrado, campo rupestre, campo sujo, floresta de galeria;Aspidosperma tomentosa;Aspidosperma tomentosum Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SC|SP|TO;Cerrado;
Ref_17;MG;NA;Parque Estadual da Serra do Cabral;17°03’S-18° 13’S, 44°05’W-44°52’W;Yes;Estadual;Campo rupestre, campo cerrado, campo sujo;Aspidosperma tomentosum;Aspidosperma tomentosum Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SC|SP|TO;Cerrado;
Ref_30;GO;Hidrolândia;Escola Agrícola;17°01’05”S, 49°11’49”W;No;No;Cerrado;Aspidosperma tomentosum;Aspidosperma tomentosum Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SC|SP|TO;Cerrado;
Ref_12;GO;Pirenópolis, Corumbá de Goiás, Cocalzinho;Parque Estadual da Serra dos Pireneus;15°48’S, 48°52’W;Yes;Estadual;Cerrado rochoso;Aspidosperma tomentosum;Aspidosperma tomentosum Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SC|SP|TO;Cerrado;
Ref_26;GO;Silvânia;Floresta Nacional de Silvânia;"16°38’11,79”S, 48°39’50,82”W; 16°37’52,90”S, 48°39’52,38”W";Yes;Federal;Cerrado, mata de galeria;Aspidosperma tomentosum;Aspidosperma tomentosum Mart. & Zucc.;Apocynaceae;Aspidosperma;LC;Tree;Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SC|SP|TO;Cerrado;
Ref_22;MG;Tiradentes;Serra de São José;21°00’S, 44°00?W;No;NA;Campo rupestre;Aspilia duarteana;Aspilia duarteana J.U.Santos;Asteraceae;Aspilia;NT;Shrub;Campo de Altitude|Campo rupestre;MG;Cerrado|Mata Atlântica;
Ref_18;MG;NA;Parque Estadual do Brigadeiro;42°20’S-42°40’S, 20°20’W-21°00’W;Yes;Estadual;Campo rupestre;Aspilia foliosa;Aspilia foliosa (Gardner) Baker;Asteraceae;Aspilia;NA;Shrub|Subshrub;Campo rupestre;BA|MG;Caatinga|Cerrado;
Ref_10;MG;NA;Serra do Ouro Branco;20°35'S-11°11' S;No;NA;Campo rupestre;Aspilia fruticosa;Aspilia fruticosa (Gardner) Baker;Asteraceae;Aspilia;NA;Shrub|Subshrub;Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;MG|RJ;Cerrado|Mata Atlântica;
Ref_17;MG;NA;Parque Estadual da Serra do Cabral;17°03’S-18° 13’S, 44°05’W-44°52’W;Yes;Estadual;Campo rupestre, campo cerrado, campo sujo;Aspilia jolyana;Aspilia jolyana G.M.Barroso;Asteraceae;Aspilia;NA;Shrub;Campo rupestre|Cerrado (lato sensu);BA|MG;Cerrado;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Cerrado, mata ciliar, mata seca;Astronium fraxinifolium;Astronium fraxinifolium Schott;Anacardiaceae;Astronium;LC;Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual;AL|BA|CE|DF|GO|MA|MG|MS|MT|PA|PB|PE|PI|RN|SE|TO;Amazônia|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Astronium graveolens;Astronium graveolens Jacq.;Anacardiaceae;Astronium;LC;Tree;Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PE|PI|PR|RJ|RO|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa;
Ref_02;MG;NA;Belo Horizonte, Lagoa Santa, Maeda, Ouro Preto e Serra do Cipó;NA;NA;NA;Campo rupestre, cerrado;Baccharis aphylla (Vell.) DC;Baccharis aphylla (Vell.) DC.;Asteraceae;Baccharis;NA;NA;NA;NA;NA;
Ref_18;MG;NA;Parque Nacional do Caparaó;20°25’S, 41°48’W;Yes;Estadual;Campo rupestre;Baccharis aracatubensis;Baccharis aracatubensis Malag.;Asteraceae;Baccharis;NA;Shrub;Campo de Altitude|Vegetação Sobre Afloramentos Rochosos;PR|SC;Mata Atlântica;
Ref_02;MG;NA;Belo Horizonte, Lagoa Santa, Maeda, Ouro Preto e Serra do Cipó;NA;NA;NA;Campo rupestre, cerrado;Baccharis boyacensis Cuatrec.;Baccharis boyacensis Cuatrec.;Asteraceae;Baccharis;NA;NA;NA;NA;NA;
Ref_18;MG;NA;Parque Nacional do Itatiaia;22°21’S, 44°40’W;Yes;Estadual;Campo rupestre;Baccharis brevifolia;Baccharis brevifolia DC.;Asteraceae;Baccharis;LC;Shrub|Subshrub;Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|MG|PR|RJ|RS|SC|SP;Caatinga|Cerrado|Mata Atlântica|Pampa;
Ref_02;MG;NA;Belo Horizonte, Lagoa Santa, Maeda, Ouro Preto e Serra do Cipó;NA;NA;NA;Campo rupestre, cerrado;Baccharis concinna Barroso;Baccharis concinna G.M.Barroso;Asteraceae;Baccharis;VU;NA;NA;NA;NA;
Ref_02;MG;NA;Belo Horizonte, Lagoa Santa, Maeda, Ouro Preto e Serra do Cipó;NA;NA;NA;Campo rupestre, cerrado;Baccharis coridifolia DC;Baccharis coridifolia DC.;Asteraceae;Baccharis;NA;NA;NA;NA;NA;
Ref_18;MG;NA;Parque Estadual do Ibitipoca;21°42’S, 43°54’W;Yes;Estadual;Campo rupestre;Baccharis trimera;Baccharis crispa Spreng.;Asteraceae;Baccharis;NA;Subshrub;Área Antrópica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MG|MS|PE|PR|RJ|RS|SC|SP;Caatinga|Cerrado|Mata Atlântica|Pampa;
